Nome;Idade;Cpf;Rg;DataNasc;Sexo;Signo;NomeMae;NomePai;Email;Senha;Cep;Endereco;Numero;Bairro;Cidade;Estado;TelefoneFixo;Celular;Altura;Peso;TipoSanguineo
Nina Débora Letícia Silveira;63;97945350364;497806307;14/01/1960;Feminino;Capricórnio;Jaqueline Patrícia;Lucca Noah Silveira;nina.debora.silveira@droganews.com.br;zRJLYsiHGm;78095160;Rua P;524;Parque Atalaia;Cuiabá;MT;6529590550;65985955184;1,85;71;AB-
Elza Andreia Stefany Alves;50;98945386300;160201007;05/03/1973;Feminino;Peixes;Lívia Antônia Francisca;Pedro Henrique Lucas Alves;elza-alves97@domain.com.br;7rCCFlcWF1;83060580;Rua Carteiro Vander Lúcio Matara;878;Guatupê;São José dos Pinhais;PR;4138179798;41991611343;1,76;53;B-
Marina Elza Drumond;34;94142940902;303943427;09/09/1989;Feminino;Virgem;Marlene Lara Josefa;Thiago Noah Drumond;marina-drumond86@pubdesign.com.br;cDZDKHWH38;90110150;Avenida Borges de Medeiros;481;Praia de Belas;Porto Alegre;RS;5138115970;51997200236;1,63;64;A-
Andrea Raimunda Bárbara Gonçalves;60;16254573245;157389212;15/07/1963;Feminino;Câncer;Yasmin Maitê;Kevin Oliver Iago Gonçalves;andrea_goncalves@tjrj.jus.br;o3mIObp6UJ;25715406;Rua do Campo;460;Vale do Carangola;Petrópolis;RJ;2425981220;24987316642;1,67;80;O+
Geraldo Gael Bernardes;45;33080512650;263031172;01/11/1978;Masculino;Escorpião;Ana Elaine;Breno Hugo Ian Bernardes;geraldo_bernardes@hotmail.com.br;kdNWpHEi37;13332075;Rua Angelina Maria Pernambucano;324;Parque Residencial Indaiá;Indaiatuba;SP;1926181111;19986963564;1,81;58;A+
Henrique Yuri Campos;23;02582342882;374237542;08/04/2000;Masculino;Áries;Marina Evelyn Marlene;Nelson Samuel Campos;henrique_yuri_campos@negocios-de-valor.com;fOhHauYi9D;44021185;Rua Belmonte;884;Sobradinho;Feira de Santana;BA;7525320904;75994411543;1,85;77;A+
Nicolas Benício Francisco Nunes;65;60901579459;275794453;24/04/1958;Masculino;Touro;Vera Sabrina;Vinicius Manoel Kevin Nunes;nicolasbenicionunes@vetech.vet.br;dXQXF5kcHO;72579665;Setor Mansões Abraão I Chácara 33;373;Mansões Abraão I (Santa Maria);Brasília;DF;6129274178;61983573499;1,84;72;AB-
Marina Adriana Nogueira;38;65784798138;270264036;15/07/1985;Feminino;Câncer;Daiane Carolina;Benjamin Cauê Luiz Nogueira;marina_adriana_nogueira@xerocopiadora.com.br;uuUqQle2g2;77006406;Quadra 404 Norte Alameda 15;392;Plano Diretor Norte;Palmas;TO;6329850499;63984465263;1,79;85;B+
Cristiane Emilly Caroline Assunção;62;07163732546;131055203;05/03/1961;Feminino;Peixes;Bianca Nair;Daniel Carlos Eduardo Murilo Assunção;cristiane.emilly.assuncao@opusvp.com.br;6CejKXX6EN;29164576;Rua A;317;Lagoa de Carapebus;Serra;ES;2735975709;27998284956;1,67;82;AB-
Raimundo Iago Ruan da Conceição;25;44386695290;372056994;05/03/1998;Masculino;Peixes;Alana Rita Cecília;Bento Pietro Noah da Conceição;raimundo-daconceicao86@multmed.com.br;WhPs8X7xEN;69020130;Avenida Visconde de Porto Alegre;193;Praça 14 de Janeiro;Manaus;AM;9226039785;92993392965;1,95;74;O+
